,GEOID,Population,Pop per Area,HH_Units,Bachelor's Degrees,Median Income,All Degrees > Bachelors,"Public Transit, Walking, and Biking"
0,210670001011,1452,0.001668873,1025,396,21027,136,186
1,210670001012,1844,0.004264797,1182,513,21750,199,408
2,210670001021,588,0.002067554,304,192,57500,47,87
3,210670001022,1316,0.002609615,929,658,32095,359,121
4,210670002001,1050,0.001615114,488,105,15000,16,172
5,210670002002,1194,0.002834664,657,218,33375,64,78
6,210670002004,558,0.00159389,307,93,26845,85,82
7,210670003001,496,0.0023899010000000003,260,33,15571,33,33
8,210670003002,873,0.0029467259999999998,445,8,16563,0,21
9,210670003003,612,0.0018749539999999999,435,103,23220,26,105
10,210670003004,1078,0.0042676,582,205,41823,41,87
11,210670004001,782,0.0014696210000000002,301,48,24875,4,62
12,210670004002,1009,0.001543871,519,56,12156,16,50
13,210670005001,631,0.001286303,355,358,69286,231,26
14,210670005002,1108,0.002454765,467,438,53901,167,30
15,210670005004,862,0.002846322,474,287,43056,108,0
16,210670006001,1457,0.002167852,732,694,67188,423,49
17,210670006002,1364,0.001695771,703,822,100767,587,162
18,210670006003,1615,0.002326607,1031,823,60745,392,46
19,210670007001,1302,0.003396915,623,199,18403,82,138
20,210670007002,1089,0.002497105,550,493,39444,295,115
21,210670008011,3829,0.004174535,192,164,14063,113,633
22,210670008021,3124,0.007571039,671,219,14112,113,600
23,210670008022,1049,0.0018127529999999998,282,101,17679,57,228
24,210670009001,1387,0.002780334,594,357,17656,161,104
25,210670009002,3364,0.00255481,1159,117,17536,13,265
26,210670009003,1468,0.0038150479999999997,548,85,7905,11,141
27,210670010001,754,0.00027256,255,16,21786,8,44
28,210670010002,822,0.000653533,508,221,29750,82,50
29,210670011001,1393,0.0017226820000000001,492,40,23167,23,22
30,210670011002,1339,0.001000292,753,8,20539,0,7
31,210670011003,1148,0.002766278,479,35,31587,22,0
32,210670011004,1077,0.00178394,682,52,28690,19,41
33,210670013001,862,0.00034539300000000005,351,55,21509,4,58
34,210670013002,1470,0.003966755,597,48,22083,3,124
35,210670014001,1249,0.002128073,530,4,22000,0,73
36,210670014002,1202,0.002144005,599,104,36700,41,68
37,210670015001,1059,0.002523995,376,127,39185,33,31
38,210670015002,1087,0.000701857,534,97,31591,32,43
39,210670016001,1673,0.001495153,891,213,27344,53,57
40,210670016002,888,0.001100462,430,122,34438,26,53
41,210670017001,553,0.001637301,355,372,110156,137,9
42,210670017002,698,0.000538623,361,201,41891,33,10
43,210670017003,804,0.0010160660000000001,422,125,38929,31,16
44,210670018001,1400,0.002667358,819,192,16435,100,167
45,210670018002,1527,0.00437324,587,124,20069,54,249
46,210670019001,3309,0.003557147,1401,351,14992,66,193
47,210670019002,1683,0.001228014,692,278,35385,106,73
48,210670020011,1947,0.0047253270000000005,855,155,18750,15,264
49,210670020012,844,0.0019974629999999997,346,40,41667,0,0
50,210670020013,2397,0.002073877,1232,217,27417,64,20
51,210670020021,941,0.002242628,400,71,40114,21,34
52,210670020022,1524,0.002058022,553,233,64107,54,6
53,210670022001,717,0.002005701,336,266,59286,64,11
54,210670022002,1018,0.001372363,510,345,49074,172,43
55,210670023021,1816,0.001490078,1123,909,55304,601,16
56,210670023022,1420,0.0012609960000000001,847,744,64083,411,17
57,210670023023,2137,0.002200813,974,910,51518,429,28
58,210670023032,833,0.0013159520000000002,513,94,37500,51,0
59,210670023033,1376,0.00091798,715,777,134583,410,0
60,210670023034,804,0.001365005,315,399,101438,235,0
61,210670023041,1514,0.001176482,588,831,104609,432,20
62,210670023042,652,0.000787058,252,373,201429,236,0
63,210670024001,1947,0.0007547560000000001,959,1099,47283,631,386
64,210670024002,683,0.001053729,286,373,108250,137,18
65,210670024003,818,0.001422614,372,329,48250,140,30
66,210670024004,709,0.001172622,336,349,79125,138,33
67,210670025001,857,0.001438656,443,341,61776,188,19
68,210670025002,922,0.001116278,473,122,44722,67,69
69,210670025003,2007,0.0028915890000000004,810,568,30759,386,290
70,210670026001,1253,0.001550271,629,589,52031,264,10
71,210670026002,886,0.001839758,598,246,43015,127,40
72,210670026003,1536,0.002201115,587,297,42813,113,0
73,210670026004,704,0.001297626,369,162,32461,54,48
74,210670026005,681,0.0017460960000000001,364,88,18730,73,190
75,210670027001,942,0.000982943,598,345,39878,173,23
76,210670027002,1763,0.001612385,826,520,40321,246,132
77,210670027003,1225,0.0017404329999999998,717,330,28419,134,21
78,210670028001,2232,0.001231884,1106,687,58542,299,32
79,210670028002,1467,0.0009878810000000001,766,507,50781,250,176
80,210670029001,982,0.00119301,429,182,58542,72,24
81,210670029002,1482,0.001183832,726,492,54609,170,0
82,210670029003,1751,0.0015852470000000001,786,446,48838,84,0
83,210670030001,1173,0.0015501010000000001,660,243,24063,106,14
84,210670030002,1335,0.0015771939999999999,606,266,67019,94,0
85,210670030003,788,0.001340211,603,249,31346,41,0
86,210670030004,1248,0.001538079,440,573,90833,104,0
