GEOID,Bachelor's Degrees
210670001011,396
210670001012,513
210670001021,192
210670001022,658
210670002001,105
210670002002,218
210670002003,157
210670002004,93
210670003001,33
210670003002,8
210670003003,103
210670003004,205
210670004001,48
210670004002,56
210670005001,358
210670005002,438
210670005003,315
210670005004,287
210670006001,694
210670006002,822
210670006003,823
210670007001,199
210670007002,493
210670008011,164
210670008021,219
210670008022,101
210670009001,357
210670009002,117
210670009003,85
210670010001,16
210670010002,221
210670011001,40
210670011002,8
210670011003,35
210670011004,52
210670013001,55
210670013002,48
210670014001,4
210670014002,104
210670015001,127
210670015002,97
210670016001,213
210670016002,122
210670017001,372
210670017002,201
210670017003,125
210670018001,192
210670018002,124
210670019001,351
210670019002,278
210670020011,155
210670020012,40
210670020013,217
210670020021,71
210670020022,233
210670022001,266
210670022002,345
210670023021,909
210670023022,744
210670023023,910
210670023031,302
210670023032,94
210670023033,777
210670023034,399
210670023041,831
210670023042,373
210670024001,1099
210670024002,373
210670024003,329
210670024004,349
210670025001,341
210670025002,122
210670025003,568
210670026001,589
210670026002,246
210670026003,297
210670026004,162
210670026005,88
210670027001,345
210670027002,520
210670027003,330
210670028001,687
210670028002,507
210670029001,182
210670029002,492
210670029003,446
210670030001,243
210670030002,266
210670030003,249
210670030004,573
210670030005,348
210670031011,94
210670031012,74
210670031021,123
210670031022,165
210670032011,174
210670032012,113
210670032021,225
210670032022,11
210670032023,26
210670032024,158
210670033001,154
210670033002,253
210670034021,451
210670034022,316
210670034023,147
210670034041,189
210670034042,459
210670034043,58
210670034051,462
210670034052,524
210670034053,126
210670034061,327
210670034062,607
210670034063,651
210670034071,468
210670034072,667
210670035011,246
210670035012,369
210670035031,588
210670035032,252
210670035041,246
210670035042,516
210670036001,322
210670036002,902
210670036003,787
210670037011,363
210670037012,227
210670037021,575
210670037022,275
210670037031,1010
210670037032,444
210670037041,648
210670037042,568
210670037043,215
210670038021,225
210670038022,130
210670038023,194
210670038031,252
210670038032,460
210670038033,333
210670038041,230
210670038042,61
210670038043,229
210670039061,780
210670039062,885
210670039081,299
210670039082,1217
210670039083,125
210670039091,570
210670039092,88
210670039101,288
210670039111,190
210670039112,359
210670039113,105
210670039121,559
210670039122,746
210670039131,913
210670039132,301
210670039133,1558
210670039141,173
210670039142,376
210670039151,690
210670039152,833
210670039161,0
210670039162,292
210670039171,327
210670039172,14
210670039173,0
210670039181,368
210670039182,578
210670040011,516
210670040012,611
210670040013,159
210670040031,723
210670040032,441
210670040033,777
210670040051,914
210670040061,572
210670040071,261
210670040072,303
210670041031,71
210670041032,409
210670041041,372
210670041042,344
210670041043,123
210670041051,835
210670041052,786
210670041053,121
210670041061,904
210670041062,858
210670041071,733
210670041072,771
210670041073,903
210670042041,768
210670042042,469
210670042043,425
210670042051,312
210670042052,961
210670042053,1004
210670042071,948
210670042072,922
210670042081,1190
210670042082,1966
210670042091,403
210670042092,684
210670042101,388
210670042102,1217
