GEOID,ALAND
210670002001,650109
210670039132,1228971
210670041041,678231
210670020021,419597
210670042071,29370372
210670032021,862213
210670034071,839959
210670039121,1822582
210670034023,514695
210670034063,1381973
210670034061,892216
210670039112,677917
210670039092,1229175
210670034072,2592849
210670041032,442826
210670034022,531525
210670039061,1774597
210670039062,1315562
210670040012,780724
210670039133,5086761
210670039131,1295236
210670040031,578047
210670040032,795772
210670040033,759058
210670041043,410423
210670041072,1023863
210670041073,1120305
210670042052,1297038
210670042053,1534576
210670037043,807142
210670033002,2300516
210670040061,3309420
210670041031,364382
210670041071,713210
210670042102,1139777
210670042092,789135
210670035032,229394
210670040051,3329046
210670032011,1074765
210670003003,326408
210670004001,532110
210670037021,1213596
210670015002,1548749
210670038023,31120997
210670024001,2579643
210670010001,2766367
210670033001,1001083
210670032023,478211
210670002003,151209
210670039173,765318
210670039161,901141
210670042072,5611330
210670042081,1746135
210670042082,6576866
210670038032,2872153
210670038031,4501183
210670038042,1026951
210670042042,964115
210670042091,886995
210670035012,845764
210670035041,401665
210670035031,495309
210670038041,851416
210670019002,1370505
210670025003,694082
210670028002,1484997
210670028001,1811859
210670037022,4400138
210670037042,7382721
210670037032,1925964
210670037031,1169768
210670037041,1480622
210670041051,858050
210670041042,928132
210670042101,1689261
210670042043,929244
210670039162,2702814
210670039152,2193314
210670039142,1035115
210670039151,862673
210670039091,2231544
210670039101,830119
210670020011,412035
210670019001,930240
210670020012,422536
210670023033,1498944
210670023032,633002
210670023022,1126094
210670023042,828401
210670023023,971005
210670029001,823128
210670035042,752549
210670024004,604628
210670025001,595695
210670026002,481585
210670026003,697828
210670026004,542529
210670026005,390013
210670027001,958347
210670027002,1093411
210670027003,703848
210670029002,1251867
210670030001,756725
210670030004,811402
210670031011,1335504
210670031012,1529291
210670031021,884311
210670031022,1223207
210670034021,1053198
210670034041,932016
210670034042,873404
210670034051,1016593
210670034052,1570057
210670034053,534447
210670039171,5699994
210670039172,3079763
210670020022,740517
210670037011,47286515
210670037012,35904608
210670039181,64122791
210670034062,2137630
210670040072,59496458
210670023031,533487
210670039141,305662
210670040071,44485933
210670039081,2278620
210670030005,1472645
210670001011,870048
210670014002,560633
210670018002,349169
210670038021,63240730
210670005001,490553
210670022001,357481
210670013002,370580
210670008022,578678
210670026001,808246
210670036001,1372763
210670036002,1734096
210670035011,976501
210670032012,907843
210670041062,1164788
210670041053,497600
210670041052,903647
210670039113,297033
210670039083,202427
210670018001,524864
210670004002,653552
210670005002,451367
210670005003,299523
210670005004,302847
210670006001,672094
210670006002,804354
210670006003,694144
210670007001,383289
210670007002,436105
210670029003,1104560
210670008011,917228
210670025002,825959
210670036003,1069907
210670032024,1288548
210670039182,85005016
210670039111,709096
210670008021,412625
210670009001,498861
210670009002,1316732
210670009003,384792
210670011004,603720
210670013001,2495711
210670014001,586916
210670015001,419573
210670038022,41888459
210670001021,284394
210670032022,399196
210670016001,1118949
210670016002,806934
210670017002,1295896
210670017003,791287
210670020013,1155806
210670040013,1046797
210670010002,1257779
210670022002,741786
210670023034,589009
210670023041,1286887
210670040011,649184
210670023021,1218728
210670024002,648174
210670024003,574998
210670038043,1750718
210670042041,4044252
210670042051,857675
210670039122,2172139
210670003002,296261
210670038033,1003102
210670011003,414998
210670041061,1422223
210670039082,4109459
210670001022,504289
210670003004,252601
210670011002,1338609
210670002004,350087
210670001012,432377
210670002002,421214
210670030002,846440
210670011001,808623
210670003001,207540
210670030003,587967
210670034043,308204
210670017001,337751
