,No,Lat,Long,geometry,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Population,Pop per Ar,HH_Units,Bachelor's,Median Inc,All Degree,Public Tra
0,0,-84.4086,37.9688,POINT (-84.40860000000001 37.9688),0.0,21.36665129,25.30910863,12.27108297,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
1,1,-84.4086,37.9715,POINT (-84.40860000000001 37.9715),0.49591290600000004,149.3721502,20.13610995,5.194552604,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
41,41,-84.4113,37.9688,POINT (-84.4113 37.9688),0.0,14.16245755,25.21147926,12.22374752,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
42,42,-84.4113,37.9715,POINT (-84.4113 37.9715),0.061388,31.45427321,12.12317089,5.312387341,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
43,43,-84.4113,37.9742,POINT (-84.4113 37.9742),1.003799321,275.7317025,19.0721871,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
82,82,-84.4141,37.9688,POINT (-84.4141 37.9688),0.0,13.908775699999998,26.88347969,13.03441439,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
83,83,-84.4141,37.9715,POINT (-84.4141 37.9715),0.0,12.55258249,12.83803493,6.224501784,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
84,84,-84.4141,37.9742,POINT (-84.4141 37.9742),0.321028412,91.09159446,6.9337396589999996,0.40446052,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
123,123,-84.4168,37.9688,POINT (-84.41679999999999 37.9688),0.0,14.16411726,29.32414934,14.21776938,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
124,124,-84.4168,37.9715,POINT (-84.41679999999999 37.9715),0.0,14.54944733,16.39147278,7.947380742999999,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
125,125,-84.4168,37.9742,POINT (-84.41679999999999 37.9742),0.0,16.03831415,2.979463898,1.4445885569999999,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
126,126,-84.4168,37.977,POINT (-84.41679999999999 37.977),0.634018644,440.12059189999997,12.04635423,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
164,164,-84.4196,37.9688,POINT (-84.4196 37.9688),2.0487819480000002,18.60261399,24.90653078,12.07589371,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
165,165,-84.4196,37.9715,POINT (-84.4196 37.9715),0.002955974,17.95310454,17.16187881,8.320910939,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
166,166,-84.4196,37.9742,POINT (-84.4196 37.9742),0.0,18.73929911,4.908932817,2.3800886390000002,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
167,167,-84.4196,37.977,POINT (-84.4196 37.977),0.185350228,64.63379959,3.521654323,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
168,168,-84.4196,37.9797,POINT (-84.4196 37.9797),1.002721178,950.9434197999999,19.05170239,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
205,205,-84.4223,37.9688,POINT (-84.42230000000001 37.9688),3.838353159,30.59484801,11.50805787,5.579664421,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
206,206,-84.4223,37.9715,POINT (-84.42230000000001 37.9715),0.24795559,28.66482317,9.431851831,4.57301907,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
207,207,-84.4223,37.9742,POINT (-84.42230000000001 37.9742),0.0,24.23692831,3.092049416,1.499175474,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
208,208,-84.4223,37.977,POINT (-84.42230000000001 37.977),0.006289078000000001,22.41458141,0.00015921700000000002,0.00015921700000000002,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
209,209,-84.4223,37.9797,POINT (-84.42230000000001 37.9797),4.6228212189999995,337.86069889999993,7.152302333,0.107646832,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
246,246,-84.425,37.9688,POINT (-84.425 37.9688),2.9874341369999997,40.94282852,1.080780579,0.524014826,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
247,247,-84.425,37.9715,POINT (-84.425 37.9715),0.0,37.23922209,1.861320263,0.902458309,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
