GEOID,HH_Units
210670001011,1025
210670001012,1182
210670001021,304
210670001022,929
210670002001,488
210670002002,657
210670002003,116
210670002004,307
210670003001,260
210670003002,445
210670003003,435
210670003004,582
210670004001,301
210670004002,519
210670005001,355
210670005002,467
210670005003,510
210670005004,474
210670006001,732
210670006002,703
210670006003,1031
210670007001,623
210670007002,550
210670008011,192
210670008021,671
210670008022,282
210670009001,594
210670009002,1159
210670009003,548
210670010001,255
210670010002,508
210670011001,492
210670011002,753
210670011003,479
210670011004,682
210670013001,351
210670013002,597
210670014001,530
210670014002,599
210670015001,376
210670015002,534
210670016001,891
210670016002,430
210670017001,355
210670017002,361
210670017003,422
210670018001,819
210670018002,587
210670019001,1401
210670019002,692
210670020011,855
210670020012,346
210670020013,1232
210670020021,400
210670020022,553
210670022001,336
210670022002,510
210670023021,1123
210670023022,847
210670023023,974
210670023031,650
210670023032,513
210670023033,715
210670023034,315
210670023041,588
210670023042,252
210670024001,959
210670024002,286
210670024003,372
210670024004,336
210670025001,443
210670025002,473
210670025003,810
210670026001,629
210670026002,598
210670026003,587
210670026004,369
210670026005,364
210670027001,598
210670027002,826
210670027003,717
210670028001,1106
210670028002,766
210670029001,429
210670029002,726
210670029003,786
210670030001,660
210670030002,606
210670030003,603
210670030004,440
210670030005,613
210670031011,678
210670031012,602
210670031021,611
210670031022,506
210670032011,501
210670032012,237
210670032021,818
210670032022,784
210670032023,640
210670032024,801
210670033001,794
210670033002,579
210670034021,1073
210670034022,578
210670034023,760
210670034041,1094
210670034042,507
210670034043,373
210670034051,934
210670034052,1179
210670034053,529
210670034061,691
210670034062,958
210670034063,1178
210670034071,790
210670034072,862
210670035011,859
210670035012,1025
210670035031,1071
210670035032,575
210670035041,707
210670035042,1085
210670036001,418
210670036002,643
210670036003,848
210670037011,312
210670037012,214
210670037021,913
210670037022,405
210670037031,1339
210670037032,771
210670037041,826
210670037042,725
210670037043,251
210670038021,377
210670038022,243
210670038023,340
210670038031,295
210670038032,924
210670038033,341
210670038041,1158
210670038042,343
210670038043,1057
210670039061,783
210670039062,925
210670039081,566
210670039082,1459
210670039083,299
210670039091,1144
210670039092,283
210670039101,994
210670039111,498
210670039112,1101
210670039113,421
210670039121,1665
210670039122,781
210670039131,677
210670039132,342
210670039133,1302
210670039141,384
210670039142,509
210670039151,534
210670039152,652
210670039161,5
210670039162,223
210670039171,578
210670039172,18
210670039173,15
210670039181,406
210670039182,738
210670040011,1265
210670040012,951
210670040013,963
210670040031,1247
210670040032,912
210670040033,824
210670040051,718
210670040061,420
210670040071,351
210670040072,435
210670041031,92
210670041032,741
210670041041,740
210670041042,991
210670041043,377
210670041051,576
210670041052,1024
210670041053,328
210670041061,743
210670041062,815
210670041071,467
210670041072,690
210670041073,945
210670042041,939
210670042042,818
210670042043,727
210670042051,565
210670042052,902
210670042053,1034
210670042071,785
210670042072,768
210670042081,1240
210670042082,1668
210670042091,809
210670042092,836
210670042101,665
210670042102,1224
