No,Lat,Long
0,-84.4086,37.9688
1,-84.4086,37.9715
2,-84.4086,37.9742
3,-84.4086,37.977
4,-84.4086,37.9797
5,-84.4086,37.9824
6,-84.4086,37.9851
7,-84.4086,37.9878
8,-84.4086,37.9906
9,-84.4086,37.9933
10,-84.4086,37.996
11,-84.4086,37.9987
12,-84.4086,38.0014
13,-84.4086,38.0042
14,-84.4086,38.0069
15,-84.4086,38.0096
16,-84.4086,38.0123
17,-84.4086,38.015
18,-84.4086,38.0178
19,-84.4086,38.0205
20,-84.4086,38.0232
21,-84.4086,38.0259
22,-84.4086,38.0286
23,-84.4086,38.0314
24,-84.4086,38.0341
25,-84.4086,38.0368
26,-84.4086,38.0395
27,-84.4086,38.0422
28,-84.4086,38.045
29,-84.4086,38.0477
30,-84.4086,38.0504
31,-84.4086,38.0531
32,-84.4086,38.0558
33,-84.4086,38.0586
34,-84.4086,38.0613
35,-84.4086,38.064
36,-84.4086,38.0667
37,-84.4086,38.0694
38,-84.4086,38.0722
39,-84.4086,38.0749
40,-84.4086,38.0776
41,-84.4113,37.9688
42,-84.4113,37.9715
43,-84.4113,37.9742
44,-84.4113,37.977
45,-84.4113,37.9797
46,-84.4113,37.9824
47,-84.4113,37.9851
48,-84.4113,37.9878
49,-84.4113,37.9906
50,-84.4113,37.9933
51,-84.4113,37.996
52,-84.4113,37.9987
53,-84.4113,38.0014
54,-84.4113,38.0042
55,-84.4113,38.0069
56,-84.4113,38.0096
57,-84.4113,38.0123
58,-84.4113,38.015
59,-84.4113,38.0178
60,-84.4113,38.0205
61,-84.4113,38.0232
62,-84.4113,38.0259
63,-84.4113,38.0286
64,-84.4113,38.0314
65,-84.4113,38.0341
66,-84.4113,38.0368
67,-84.4113,38.0395
68,-84.4113,38.0422
69,-84.4113,38.045
70,-84.4113,38.0477
71,-84.4113,38.0504
72,-84.4113,38.0531
73,-84.4113,38.0558
74,-84.4113,38.0586
75,-84.4113,38.0613
76,-84.4113,38.064
77,-84.4113,38.0667
78,-84.4113,38.0694
79,-84.4113,38.0722
80,-84.4113,38.0749
81,-84.4113,38.0776
82,-84.4141,37.9688
83,-84.4141,37.9715
84,-84.4141,37.9742
85,-84.4141,37.977
86,-84.4141,37.9797
87,-84.4141,37.9824
88,-84.4141,37.9851
89,-84.4141,37.9878
90,-84.4141,37.9906
91,-84.4141,37.9933
92,-84.4141,37.996
93,-84.4141,37.9987
94,-84.4141,38.0014
95,-84.4141,38.0042
96,-84.4141,38.0069
97,-84.4141,38.0096
98,-84.4141,38.0123
99,-84.4141,38.015
100,-84.4141,38.0178
101,-84.4141,38.0205
102,-84.4141,38.0232
103,-84.4141,38.0259
104,-84.4141,38.0286
105,-84.4141,38.0314
106,-84.4141,38.0341
107,-84.4141,38.0368
108,-84.4141,38.0395
109,-84.4141,38.0422
110,-84.4141,38.045
111,-84.4141,38.0477
112,-84.4141,38.0504
113,-84.4141,38.0531
114,-84.4141,38.0558
115,-84.4141,38.0586
116,-84.4141,38.0613
117,-84.4141,38.064
118,-84.4141,38.0667
119,-84.4141,38.0694
120,-84.4141,38.0722
121,-84.4141,38.0749
122,-84.4141,38.0776
123,-84.4168,37.9688
124,-84.4168,37.9715
125,-84.4168,37.9742
126,-84.4168,37.977
127,-84.4168,37.9797
128,-84.4168,37.9824
129,-84.4168,37.9851
130,-84.4168,37.9878
131,-84.4168,37.9906
132,-84.4168,37.9933
133,-84.4168,37.996
134,-84.4168,37.9987
135,-84.4168,38.0014
136,-84.4168,38.0042
137,-84.4168,38.0069
138,-84.4168,38.0096
139,-84.4168,38.0123
140,-84.4168,38.015
141,-84.4168,38.0178
142,-84.4168,38.0205
143,-84.4168,38.0232
144,-84.4168,38.0259
145,-84.4168,38.0286
146,-84.4168,38.0314
147,-84.4168,38.0341
148,-84.4168,38.0368
149,-84.4168,38.0395
150,-84.4168,38.0422
151,-84.4168,38.045
152,-84.4168,38.0477
153,-84.4168,38.0504
154,-84.4168,38.0531
155,-84.4168,38.0558
156,-84.4168,38.0586
157,-84.4168,38.0613
158,-84.4168,38.064
159,-84.4168,38.0667
160,-84.4168,38.0694
161,-84.4168,38.0722
162,-84.4168,38.0749
163,-84.4168,38.0776
164,-84.4196,37.9688
165,-84.4196,37.9715
166,-84.4196,37.9742
167,-84.4196,37.977
168,-84.4196,37.9797
169,-84.4196,37.9824
170,-84.4196,37.9851
171,-84.4196,37.9878
172,-84.4196,37.9906
173,-84.4196,37.9933
174,-84.4196,37.996
175,-84.4196,37.9987
176,-84.4196,38.0014
177,-84.4196,38.0042
178,-84.4196,38.0069
179,-84.4196,38.0096
180,-84.4196,38.0123
181,-84.4196,38.015
182,-84.4196,38.0178
183,-84.4196,38.0205
184,-84.4196,38.0232
185,-84.4196,38.0259
186,-84.4196,38.0286
187,-84.4196,38.0314
188,-84.4196,38.0341
189,-84.4196,38.0368
190,-84.4196,38.0395
191,-84.4196,38.0422
192,-84.4196,38.045
193,-84.4196,38.0477
194,-84.4196,38.0504
195,-84.4196,38.0531
196,-84.4196,38.0558
197,-84.4196,38.0586
198,-84.4196,38.0613
199,-84.4196,38.064
200,-84.4196,38.0667
201,-84.4196,38.0694
202,-84.4196,38.0722
203,-84.4196,38.0749
204,-84.4196,38.0776
205,-84.4223,37.9688
206,-84.4223,37.9715
207,-84.4223,37.9742
208,-84.4223,37.977
209,-84.4223,37.9797
210,-84.4223,37.9824
211,-84.4223,37.9851
212,-84.4223,37.9878
213,-84.4223,37.9906
214,-84.4223,37.9933
215,-84.4223,37.996
216,-84.4223,37.9987
217,-84.4223,38.0014
218,-84.4223,38.0042
219,-84.4223,38.0069
220,-84.4223,38.0096
221,-84.4223,38.0123
222,-84.4223,38.015
223,-84.4223,38.0178
224,-84.4223,38.0205
225,-84.4223,38.0232
226,-84.4223,38.0259
227,-84.4223,38.0286
228,-84.4223,38.0314
229,-84.4223,38.0341
230,-84.4223,38.0368
231,-84.4223,38.0395
232,-84.4223,38.0422
233,-84.4223,38.045
234,-84.4223,38.0477
235,-84.4223,38.0504
236,-84.4223,38.0531
237,-84.4223,38.0558
238,-84.4223,38.0586
239,-84.4223,38.0613
240,-84.4223,38.064
241,-84.4223,38.0667
242,-84.4223,38.0694
243,-84.4223,38.0722
244,-84.4223,38.0749
245,-84.4223,38.0776
246,-84.425,37.9688
247,-84.425,37.9715
248,-84.425,37.9742
249,-84.425,37.977
250,-84.425,37.9797
251,-84.425,37.9824
252,-84.425,37.9851
253,-84.425,37.9878
254,-84.425,37.9906
255,-84.425,37.9933
256,-84.425,37.996
257,-84.425,37.9987
258,-84.425,38.0014
259,-84.425,38.0042
260,-84.425,38.0069
261,-84.425,38.0096
262,-84.425,38.0123
263,-84.425,38.015
264,-84.425,38.0178
265,-84.425,38.0205
266,-84.425,38.0232
267,-84.425,38.0259
268,-84.425,38.0286
269,-84.425,38.0314
270,-84.425,38.0341
271,-84.425,38.0368
272,-84.425,38.0395
273,-84.425,38.0422
274,-84.425,38.045
275,-84.425,38.0477
276,-84.425,38.0504
277,-84.425,38.0531
278,-84.425,38.0558
279,-84.425,38.0586
280,-84.425,38.0613
281,-84.425,38.064
282,-84.425,38.0667
283,-84.425,38.0694
284,-84.425,38.0722
285,-84.425,38.0749
286,-84.425,38.0776
287,-84.4278,37.9688
288,-84.4278,37.9715
289,-84.4278,37.9742
290,-84.4278,37.977
291,-84.4278,37.9797
292,-84.4278,37.9824
293,-84.4278,37.9851
294,-84.4278,37.9878
295,-84.4278,37.9906
296,-84.4278,37.9933
297,-84.4278,37.996
298,-84.4278,37.9987
299,-84.4278,38.0014
300,-84.4278,38.0042
301,-84.4278,38.0069
302,-84.4278,38.0096
303,-84.4278,38.0123
304,-84.4278,38.015
305,-84.4278,38.0178
306,-84.4278,38.0205
307,-84.4278,38.0232
308,-84.4278,38.0259
309,-84.4278,38.0286
310,-84.4278,38.0314
311,-84.4278,38.0341
312,-84.4278,38.0368
313,-84.4278,38.0395
314,-84.4278,38.0422
315,-84.4278,38.045
316,-84.4278,38.0477
317,-84.4278,38.0504
318,-84.4278,38.0531
319,-84.4278,38.0558
320,-84.4278,38.0586
321,-84.4278,38.0613
322,-84.4278,38.064
323,-84.4278,38.0667
324,-84.4278,38.0694
325,-84.4278,38.0722
326,-84.4278,38.0749
327,-84.4278,38.0776
328,-84.4305,37.9688
329,-84.4305,37.9715
330,-84.4305,37.9742
331,-84.4305,37.977
332,-84.4305,37.9797
333,-84.4305,37.9824
334,-84.4305,37.9851
335,-84.4305,37.9878
336,-84.4305,37.9906
337,-84.4305,37.9933
338,-84.4305,37.996
339,-84.4305,37.9987
340,-84.4305,38.0014
341,-84.4305,38.0042
342,-84.4305,38.0069
343,-84.4305,38.0096
344,-84.4305,38.0123
345,-84.4305,38.015
346,-84.4305,38.0178
347,-84.4305,38.0205
348,-84.4305,38.0232
349,-84.4305,38.0259
350,-84.4305,38.0286
351,-84.4305,38.0314
352,-84.4305,38.0341
353,-84.4305,38.0368
354,-84.4305,38.0395
355,-84.4305,38.0422
356,-84.4305,38.045
357,-84.4305,38.0477
358,-84.4305,38.0504
359,-84.4305,38.0531
360,-84.4305,38.0558
361,-84.4305,38.0586
362,-84.4305,38.0613
363,-84.4305,38.064
364,-84.4305,38.0667
365,-84.4305,38.0694
366,-84.4305,38.0722
367,-84.4305,38.0749
368,-84.4305,38.0776
369,-84.4333,37.9688
370,-84.4333,37.9715
371,-84.4333,37.9742
372,-84.4333,37.977
373,-84.4333,37.9797
374,-84.4333,37.9824
375,-84.4333,37.9851
376,-84.4333,37.9878
377,-84.4333,37.9906
378,-84.4333,37.9933
379,-84.4333,37.996
380,-84.4333,37.9987
381,-84.4333,38.0014
382,-84.4333,38.0042
383,-84.4333,38.0069
384,-84.4333,38.0096
385,-84.4333,38.0123
386,-84.4333,38.015
387,-84.4333,38.0178
388,-84.4333,38.0205
389,-84.4333,38.0232
390,-84.4333,38.0259
391,-84.4333,38.0286
392,-84.4333,38.0314
393,-84.4333,38.0341
394,-84.4333,38.0368
395,-84.4333,38.0395
396,-84.4333,38.0422
397,-84.4333,38.045
398,-84.4333,38.0477
399,-84.4333,38.0504
400,-84.4333,38.0531
401,-84.4333,38.0558
402,-84.4333,38.0586
403,-84.4333,38.0613
404,-84.4333,38.064
405,-84.4333,38.0667
406,-84.4333,38.0694
407,-84.4333,38.0722
408,-84.4333,38.0749
409,-84.4333,38.0776
410,-84.436,37.9688
411,-84.436,37.9715
412,-84.436,37.9742
413,-84.436,37.977
414,-84.436,37.9797
415,-84.436,37.9824
416,-84.436,37.9851
417,-84.436,37.9878
418,-84.436,37.9906
419,-84.436,37.9933
420,-84.436,37.996
421,-84.436,37.9987
422,-84.436,38.0014
423,-84.436,38.0042
424,-84.436,38.0069
425,-84.436,38.0096
426,-84.436,38.0123
427,-84.436,38.015
428,-84.436,38.0178
429,-84.436,38.0205
430,-84.436,38.0232
431,-84.436,38.0259
432,-84.436,38.0286
433,-84.436,38.0314
434,-84.436,38.0341
435,-84.436,38.0368
436,-84.436,38.0395
437,-84.436,38.0422
438,-84.436,38.045
439,-84.436,38.0477
440,-84.436,38.0504
441,-84.436,38.0531
