GEOID,Median Income
210670001011,21027
210670001012,21750
210670001021,57500
210670001022,32095
210670002001,15000
210670002002,33375
210670002004,26845
210670003001,15571
210670003002,16563
210670003003,23220
210670003004,41823
210670004001,24875
210670004002,12156
210670005001,69286
210670005002,53901
210670005004,43056
210670006001,67188
210670006002,100767
210670006003,60745
210670007001,18403
210670007002,39444
210670008011,14063
210670008021,14112
210670008022,17679
210670009001,17656
210670009002,17536
210670009003,7905
210670010001,21786
210670010002,29750
210670011001,23167
210670011002,20539
210670011003,31587
210670011004,28690
210670013001,21509
210670013002,22083
210670014001,22000
210670014002,36700
210670015001,39185
210670015002,31591
210670016001,27344
210670016002,34438
210670017001,110156
210670017002,41891
210670017003,38929
210670018001,16435
210670018002,20069
210670019001,14992
210670019002,35385
210670020011,18750
210670020012,41667
210670020013,27417
210670020021,40114
210670020022,64107
210670022001,59286
210670022002,49074
210670023021,55304
210670023022,64083
210670023023,51518
210670023032,37500
210670023033,134583
210670023034,101438
210670023041,104609
210670023042,201429
210670024001,47283
210670024002,108250
210670024003,48250
210670024004,79125
210670025001,61776
210670025002,44722
210670025003,30759
210670026001,52031
210670026002,43015
210670026003,42813
210670026004,32461
210670026005,18730
210670027001,39878
210670027002,40321
210670027003,28419
210670028001,58542
210670028002,50781
210670029001,58542
210670029002,54609
210670029003,48838
210670030001,24063
210670030002,67019
210670030003,31346
210670030004,90833
210670030005,72386
210670031011,23250
210670031012,41199
210670031021,37607
210670031022,53095
210670032011,39760
210670032012,70700
210670032021,43553
210670032022,25521
210670032023,18094
210670032024,50134
210670033001,34750
210670033002,58935
210670034021,35205
210670034022,44474
210670034023,31686
210670034041,13159
210670034042,72841
210670034043,31490
210670034051,42900
210670034052,63125
210670034053,75806
210670034061,43421
210670034062,50615
210670034063,60392
210670034071,47235
210670034072,70260
210670035011,35927
210670035012,39205
210670035031,37463
210670035032,26563
210670035041,30035
210670035042,42364
210670036001,72647
210670036002,104531
210670036003,82386
210670037011,116250
210670037021,65813
210670037022,65093
210670037031,72083
210670037032,65250
210670037041,86607
210670037042,76920
210670037043,84583
210670038021,50882
210670038022,70188
210670038023,54539
210670038031,73824
210670038032,58266
210670038033,88750
210670038041,18655
210670038042,21012
210670038043,29141
210670039061,71667
210670039062,84653
210670039081,68417
210670039082,98837
210670039083,66548
210670039091,47372
210670039092,49205
210670039101,36307
210670039111,49700
210670039112,33309
210670039113,34375
210670039121,42176
210670039122,68672
210670039131,124568
210670039132,93900
210670039133,93818
210670039141,34250
210670039142,70144
210670039151,115350
210670039152,111944
210670039161,-
210670039162,145563
210670039171,63438
210670039173,-
210670039181,80882
210670039182,80625
210670040011,35133
210670040012,54808
210670040013,32416
210670040031,50391
210670040032,42641
210670040033,85552
210670040051,113938
210670040061,171458
210670040071,73906
210670040072,65714
210670041031,70833
210670041032,41563
210670041041,53512
210670041042,26917
210670041043,45670
210670041051,103833
210670041052,55679
210670041053,48152
210670041061,95990
210670041062,94479
210670041071,135735
210670041072,87321
210670041073,76140
210670042041,58580
210670042042,69908
210670042043,58083
210670042051,69052
210670042052,114375
210670042053,95000
210670042071,130164
210670042072,117143
210670042081,114083
210670042082,110560
210670042091,66667
210670042092,74914
210670042101,62461
210670042102,81250
