No,Model Outputs
0,43.13953221
1,42.91434614
41,43.15047885
42,43.09112923
43,42.70201269
82,43.15479367
83,43.12396708
84,42.97882755
123,43.16012206
124,43.12919948
125,43.09546585
126,42.44515126
164,43.14188085
165,43.12572598
166,43.09579983
167,43.01587411
168,41.67728763
205,43.09102447
206,43.0908937
207,43.08302744
208,43.07860798
209,42.59626537
246,43.05100218
247,43.06001007
248,43.06608139
249,43.03093121
250,42.89332309
251,42.40959367
287,43.04947857
288,43.05781761
289,43.06098161
290,42.96831311
328,43.05770804
329,43.06097971
330,43.06098161
331,42.95307788
369,43.06097786
370,43.06097971
371,43.05648969
372,42.873689
410,43.06097786
411,43.06097971
412,43.03618349
413,42.8058114
451,43.06097786
452,43.06097971
453,43.04052646
454,42.76993254
492,43.06097786
493,43.06097971
494,42.9638717
495,42.72353598
533,43.05776598
534,42.97829796
535,42.77497933
574,42.65518679
2,43.75227789
3,43.21140679
4,41.54669748
5,38.17461788
6,37.20126293
7,39.65851381
44,42.22664705
45,39.7668579
46,39.42188358
85,42.18589594
86,40.60099678
87,40.41807737
127,42.41317598
128,41.2277647
169,41.3928673
210,42.19220767
8,52.61102724
47,52.49978841
48,54.18459499
88,55.38721938
89,55.03098902
129,54.88272185
130,55.80839045
170,53.84728528
171,55.80671491
211,55.26864225
212,56.28933496
252,56.7012515
253,56.86981131
294,57.10339809
335,57.11238174
9,53.93963027
10,60.68928605
49,54.37414837
50,52.43754287
51,58.57039444
90,54.70891918
91,52.75935896
92,53.80478063
131,56.32103068
132,54.59514515
172,58.15295347
173,57.00437815
213,59.67925531
11,61.87569273
52,61.27585042
53,55.51765312
93,56.10615185
94,56.66732973
133,53.87982957
134,54.67421626
135,56.17201012
136,56.32973411
174,55.86026609
175,54.95316671
176,55.43779025
177,55.03174751
214,60.31501476
215,58.78660415
216,57.48192131
217,55.85284927
218,53.09102372
254,61.55794136
255,61.68035418
256,60.80855888
257,60.22254188
258,57.08188905
295,61.74572731
296,61.81382
297,61.74697025
298,61.74699704
299,57.03805256
336,61.55853716
337,61.32119228
338,61.37178221
339,61.22388772
340,56.71090751
380,60.36284355
12,45.47648371
13,45.08019909
14,46.09633845
54,46.76829983
55,47.30259365
95,46.97883072
15,59.61422158
16,58.59721573
17,58.3617172
18,58.83622106
56,59.84970783
57,57.16148512
58,58.49112025
59,67.96426515
60,73.15062586
96,60.34429507
97,59.79672613
98,59.76885455
99,64.47940646
100,85.13285553
101,99.63449213
137,60.23551906
138,60.67115059
139,64.96353979
140,79.23646794
141,102.5041197
178,59.7935049
179,64.66251876
180,71.20712838
181,78.75585293
19,35.92173433
20,36.47086097
21,65.48212656
22,70.56304218
23,70.54824325
24,70.53228505
61,74.40145802
62,70.42964141
63,70.56479406
64,70.56451746
103,83.80166508
25,69.9239092
26,42.1402626
27,42.14651636
28,42.15028209
29,42.14725581
30,42.1480483
31,42.14911904
32,42.15038954
33,42.15616988
68,42.06759448
69,42.04884667
70,42.0477191
71,42.04587584
72,42.09139728
73,42.14292154
74,42.15793323
114,42.09926265
34,52.3350025
35,52.3370234
36,52.32216653
37,52.28385014
38,52.27037071
39,52.29428051
40,52.32410354
75,52.33640486
76,52.33802642
77,52.33195359
78,52.30558367
79,52.28716871
80,52.29742103
81,52.30598832
115,52.31657812
116,52.31145667
117,52.30967327
118,52.30614584
120,52.31731256
121,52.27806457
122,52.25886848
161,52.32154346
162,52.23425063
163,52.20948516
202,52.2667933
203,52.09785001
204,52.0621345
327,51.8935859
368,51.95688373
409,51.97652034
450,51.97384695
491,51.96759937
532,51.94453171
573,51.89462765
65,70.55982134
66,70.54485016
67,70.4817993
104,73.23272525
105,70.56479406
106,70.56479406
107,70.56479406
108,70.42074255
109,70.24956102
110,70.12650812
111,70.12111722
112,70.12714392
113,70.27203226
145,87.88942024
146,75.07296717
147,70.56479406
148,70.56479406
149,70.47254708
150,70.31592411
151,70.14486013
152,70.06988303
153,70.05407195
154,70.25607417
155,70.44796689
188,78.97377625
189,84.07806332
190,81.95913889
191,77.66457964
192,74.50052841
193,71.25829586
194,70.28732438
195,70.3981426
196,70.51493507
234,72.73888139
235,70.57938733
236,70.54581345
237,70.5301349
276,69.10464379
277,70.56334475
278,70.52576154
318,70.09066996
319,70.49710869
360,69.39790034
102,94.875747
142,146.645782
143,131.1759051
144,103.3392028
182,111.9912626
183,147.5272715
184,177.5389426
185,128.3608364
186,90.79149754
187,76.41444708
222,69.37959173
223,76.17632477
224,118.2248267
225,127.6352225
226,107.8444223
227,84.40830557
228,73.7726902
229,76.78643083
230,88.2832339
231,89.98282969
263,60.7805631
264,64.61280132
265,70.29307059
266,76.27060743
267,73.71307094
268,66.46064339
269,65.35278047
270,68.39016141
271,80.4798648
272,88.22017374
304,62.49351254
305,61.32590862
306,61.23132946
307,60.70921509
308,58.71401196
309,62.66576659
310,62.64891108
311,63.83596923
312,70.16627902
346,59.90545544
347,60.35034306
348,57.90105664
349,57.06806221
350,59.71153622
351,63.78181842
352,64.72944049
388,61.90931544
389,61.35646004
390,60.68147113
391,61.97341146
392,64.27798153
429,60.72748768
430,62.65504656
431,61.43686405
432,61.48347083
433,64.53243324
471,60.43770244
119,48.42460663
156,48.41030507
157,48.39121123
158,48.38895845
159,48.39023403
160,48.4097121
197,48.39658084
198,48.37671866
199,48.37672123
200,48.37729835
201,48.39187214
238,48.39070823
239,48.37671866
240,48.37672123
241,48.3767238
242,48.37722695
243,48.28266286
244,48.03290538
245,48.03335261
279,48.38763524
280,48.37671866
281,48.37672123
282,48.3767238
283,48.37672642
284,48.18890353
285,47.89258143
286,47.9572166
320,48.38460406
321,48.37671866
322,48.37672123
323,48.3767238
324,48.35317529
325,48.08042465
326,47.85197732
361,48.28189188
362,48.36730401
363,48.37672123
364,48.3767238
365,48.27131969
366,47.96633396
367,47.81015669
402,46.85269657
403,48.17188514
404,48.37104936
405,48.3767238
406,48.16142105
407,47.84895997
408,47.79348501
444,46.42213747
445,48.27134536
446,48.31934344
447,48.04803039
448,47.75166214
449,47.79058574
486,47.10772273
487,48.14948134
488,47.8897038
489,47.6858065
490,47.78624152
528,46.29598376
529,46.34631666
530,47.68095306
531,47.77378018
569,43.8628526
570,44.24030274
571,45.62006561
572,47.40671666
611,42.4124581
612,43.7638316
613,45.62665769
614,46.89721037
653,43.22127592
654,44.07457661
655,46.7956553
695,45.02141465
219,27.60584158
259,25.58333453
260,26.02853425
300,24.53411372
301,25.67980246
341,24.16818284
342,25.30472356
377,29.82128156
378,29.29834659
379,29.27983699
381,27.85018591
382,24.93627912
383,25.85372567
419,26.63713864
420,28.13131545
421,28.97333338
422,28.9204266
423,26.89634077
461,30.51948683
462,27.46481258
463,28.26238682
464,29.50892174
503,28.73524766
504,30.58866779
545,38.91673917
220,46.23786204
221,48.3527282
262,45.05146576
232,53.58167261
233,47.89588649
273,52.50051323
274,45.92269855
275,42.50571962
314,47.63770854
315,42.2777133
316,40.77815825
317,41.36617202
355,44.04854486
356,42.27477086
357,40.74913661
358,41.00723339
359,41.80327563
396,42.85936329
397,42.27275066
398,41.54494208
399,40.10020963
400,39.94093544
401,40.54559891
437,42.85411596
438,42.38357889
439,41.48381352
440,39.4109163
442,38.00416534
478,42.79672746
479,42.36641328
480,41.31026847
519,42.76601045
520,42.01835061
521,41.33919907
560,42.22427475
561,41.60376621
261,48.82111126
302,49.39701696
303,50.55952384
343,50.33146223
344,51.98605602
345,48.54641228
384,50.79576768
385,52.42893355
386,48.89367215
387,46.89194776
424,45.63994174
425,50.22130204
426,52.86804705
427,49.34306425
468,50.06528203
509,49.97083896
291,55.18790679
292,54.60753558
293,54.08048565
332,55.01601209
333,54.26428699
334,54.15745217
373,54.93392039
374,54.33390827
375,54.38109173
376,54.9311906
414,54.90400297
415,54.75510296
416,54.96977361
417,54.85814646
418,50.10029785
455,54.92413667
456,54.94353699
457,55.22043051
458,52.92025231
459,46.41904029
460,48.47075896
496,55.04812849
497,55.1990146
498,55.21068835
499,53.59681261
500,47.79563885
501,53.17113462
536,55.09016992
537,55.23834075
538,55.21219364
539,54.9579274
540,54.06558592
541,49.57406063
576,55.11085345
577,55.02494091
578,54.98975066
580,54.42769696
581,52.54235415
582,47.79412255
617,54.48601345
618,54.45983866
621,53.08685449
622,50.83461675
313,40.78518914
353,36.88493888
354,38.83413229
393,36.31198464
394,36.93220377
395,36.93433425
434,36.71333381
435,37.02998293
436,36.90821674
472,32.10360782
473,32.08447718
474,34.66275351
475,36.97541475
476,37.02998293
477,36.94006197
513,31.30027842
514,30.59663378
515,33.84524141
516,36.71581351
517,37.02998293
518,36.94014286
555,29.86300215
556,31.47856139
557,35.9915049
558,37.0335478
559,37.07076223
596,30.2913962
598,37.48977756
599,42.282806
600,40.4937777
428,32.34120625
469,32.41783595
470,31.82021557
510,34.16937372
511,32.33705783
512,32.04644665
551,35.47221574
552,35.16002884
553,32.36951591
554,30.72429779
593,36.6228487
594,34.58747681
595,31.36004889
597,31.11986391
601,35.671349
635,36.94838902
636,33.90814531
637,34.2686714
638,36.18468786
639,42.17942152
640,48.32226836
641,49.78439219
642,40.32573837
676,41.01538539
677,36.46146655
678,35.914681
679,39.26622853
680,42.36071193
681,52.92156572
682,57.68531587
683,46.88113019
441,38.61707143
481,39.73720143
482,37.39748678
522,39.70897308
523,36.8756879
562,41.13345897
563,38.89707301
602,40.09998481
603,39.89766594
604,37.79338933
643,38.44378142
644,37.83251092
684,43.23346154
443,29.07961828
483,26.50573012
484,26.75730467
485,28.90277274
524,26.14729674
565,26.50322213
465,30.96236762
505,39.28061718
506,34.02234022
507,30.66414214
546,45.30273692
547,35.630147
548,29.16042085
587,47.22039788
588,36.63635426
466,38.02744689
467,41.08977655
508,38.49581686
549,34.32250517
550,37.46209481
591,33.59572505
592,39.88269094
633,36.05965905
634,41.77582733
674,39.88460744
502,44.8023245
542,42.06677357
543,44.9729768
544,44.01082233
583,37.40415362
584,41.44214901
585,50.15982587
623,38.92708086
624,37.11094732
625,41.93394132
664,38.75580607
665,37.11288737
525,25.78008764
526,27.04712889
527,29.20999452
566,26.54072083
567,26.93079247
568,28.30154002
607,27.62039444
608,27.69351784
609,28.07396063
649,28.36771069
650,28.56653995
691,29.46346699
564,38.04272214
605,38.12424169
645,38.27615874
646,38.47565153
685,41.04885628
686,40.9544164
727,51.19183004
575,37.06184162
579,36.63089028
615,35.92103778
